order_id,order_date,warehouse_id,product_id,supplier_id,order_qty,order_value_usd
O0000001,2025-12-18,W03,P00085,S0137,2,216.48
O0000002,2025-10-10,W05,P00034,S0179,7,913.15
O0000003,2025-10-24,W04,P00551,S0177,9,1591.56
O0000004,2026-01-06,W08,P00563,S0026,22,3760.68
O0000005,2025-12-23,W02,P00587,S0078,19,2782.55
O0000006,2025-11-16,W01,P00779,S0002,18,3181.86
O0000007,2025-12-05,W04,P00436,S0191,21,2332.05
O0000008,2025-10-17,W05,P00034,S0179,18,2348.1
O0000009,2025-12-08,W05,P00357,S0158,13,1941.29
O0000010,2025-09-14,W04,P00215,S0164,10,649.9
O0000011,2026-01-12,W06,P00728,S0147,7,918.61
O0000012,2026-01-19,W03,P00212,S0044,7,317.94
O0000013,2025-10-06,W01,P00584,S0036,9,1083.69
O0000014,2025-12-30,W03,P00332,S0112,15,99.75
O0000015,2026-02-11,W05,P00297,S0024,1,109.11
O0000016,2025-12-24,W02,P00139,S0180,5,1075.9
O0000017,2025-11-28,W01,P00284,S0183,14,3186.54
O0000018,2025-09-17,W04,P00150,S0189,9,737.46
O0000019,2025-11-05,W04,P00780,S0072,15,2828.7
O0000020,2025-09-20,W05,P00643,S0062,7,1488.48
O0000021,2025-11-29,W07,P00463,S0052,21,680.61
O0000022,2025-09-07,W07,P00528,S0084,16,3727.68
O0000023,2025-10-25,W06,P00466,S0171,17,1498.72
O0000024,2025-08-15,W02,P00749,S0105,10,1689.0
O0000025,2025-12-10,W06,P00065,S0084,13,1114.1
O0000026,2025-12-02,W04,P00507,S0049,6,1147.5
O0000027,2025-10-22,W06,P00291,S0111,7,797.93
O0000028,2026-01-06,W08,P00352,S0018,18,2129.22
O0000029,2026-02-05,W01,P00048,S0017,20,2097.8
O0000030,2025-12-10,W01,P00128,S0143,18,3448.44
O0000031,2025-09-24,W08,P00468,S0041,27,4820.31
O0000032,2025-10-05,W03,P00666,S0076,12,477.6
O0000033,2025-10-31,W03,P00281,S0118,16,2584.8
O0000034,2025-09-05,W06,P00681,S0137,15,2082.15
O0000035,2026-01-28,W03,P00054,S0193,7,691.04
O0000036,2026-02-10,W04,P00440,S0111,15,2271.15
O0000037,2026-01-29,W02,P00721,S0114,15,1368.9
O0000038,2025-09-03,W03,P00608,S0102,14,911.54
O0000039,2025-10-11,W08,P00010,S0066,17,221.17
