shipment_id,order_id,supplier_id,warehouse_id,product_id,shipped_date,delivered_date,shipment_status,carrier,shipped_qty
SH00000001,O0008531,S0084,W04,P00065,2025-11-16,2025-11-28,delivered,USPS,24
SH00000002,O0014052,S0151,W01,P00183,2025-09-10,2025-10-13,delayed,UPS,7
SH00000003,O0004662,S0095,W02,P00663,2025-09-24,2025-10-11,delayed,FedEx,1
SH00000004,O0002817,S0199,W04,P00129,2025-12-19,2025-12-29,delivered,FedEx,11
SH00000005,O0016766,S0033,W04,P00060,2025-09-29,,in_transit,DHL,6
SH00000006,O0009867,S0056,W04,P00678,2025-09-27,2025-10-08,delivered,FedEx,1
SH00000007,O0004702,S0135,W01,P00686,2025-11-30,2025-12-23,delivered,XPO,18
SH00000008,O0011818,S0165,W05,P00477,2025-11-23,2025-12-03,delivered,Maersk,16
SH00000009,O0010634,S0177,W08,P00337,2025-08-24,2025-09-01,delivered,DHL,9
SH00000010,O0004588,S0041,W03,P00136,2026-01-16,2026-01-23,delivered,XPO,9
SH00000011,O0016116,S0123,W01,P00566,2025-08-30,2025-09-17,delivered,UPS,12
SH00000012,O0014607,S0075,W01,P00555,2025-09-25,,in_transit,Maersk,3
SH00000013,O0000723,S0036,W08,P00632,2025-09-29,2025-10-28,delivered,Maersk,5
SH00000014,O0000142,S0089,W08,P00556,2025-10-04,2025-10-31,delivered,DHL,8
SH00000015,O0009988,S0123,W05,P00124,2025-08-28,2025-09-21,delayed,FedEx,24
SH00000016,O0014081,S0112,W06,P00008,2025-10-24,2025-11-09,delivered,USPS,11
SH00000017,O0015584,S0181,W03,P00461,2025-12-19,,in_transit,USPS,12
SH00000018,O0007225,S0165,W05,P00477,2025-09-26,2025-10-06,delivered,USPS,10
SH00000019,O0006115,S0119,W04,P00775,2025-11-23,2025-12-21,delivered,FedEx,4
SH00000020,O0009122,S0106,W08,P00676,2025-11-11,2025-11-27,delivered,USPS,9
SH00000021,O0001620,S0052,W08,P00392,2026-01-19,,in_transit,USPS,10
SH00000022,O0019084,S0133,W06,P00527,2025-10-13,2025-10-30,delivered,UPS,24
SH00000023,O0011574,S0094,W05,P00449,2025-10-19,2025-10-28,delivered,UPS,2
SH00000024,O0017394,S0129,W02,P00487,2025-09-08,2025-09-29,delivered,DHL,13
SH00000025,O0018843,S0165,W08,P00426,2025-11-07,2025-11-14,delivered,DHL,6
SH00000026,O0006592,S0147,W06,P00417,2026-02-13,2026-02-28,delivered,XPO,1
SH00000027,O0007486,S0121,W07,P00405,2025-09-29,2025-10-09,delivered,Maersk,10
SH00000028,O0019780,S0083,W08,P00158,2025-12-14,2026-01-07,delayed,Maersk,20
SH00000029,O0017448,S0020,W04,P00705,2025-11-15,2025-11-21,delivered,XPO,8
SH00000030,O0013403,S0185,W07,P00734,2025-08-26,2025-09-24,delivered,XPO,9
SH00000031,O0019069,S0044,W07,P00336,2025-08-21,2025-09-02,delivered,Maersk,22
SH00000032,O0013116,S0119,W08,P00497,2025-10-08,2025-11-08,delayed,FedEx,11
SH00000033,O0017307,S0166,W05,P00648,2025-12-28,2026-01-19,delivered,UPS,12
